insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
18268,"uzay le venon",18190,"uzay le venon",46.823896483,2.456887785,cher,18,"centre-val de loire","Centre-Val de Loire"
18280,"vignoux sous les aix",18110,"vignoux sous les aix",47.183546242,2.469120388,cher,18,"centre-val de loire","Centre-Val de Loire"
18281,"vignoux sur barangeon",18500,"vignoux sur barangeon",47.20814366,2.179884611,cher,18,"centre-val de loire","Centre-Val de Loire"
18286,villequiers,18800,villequiers,47.078089332,2.791769362,cher,18,"centre-val de loire","Centre-Val de Loire"
45001,adon,45230,adon,47.764264401,2.798142383,loiret,45,"centre-val de loire","Centre-Val de Loire"
45009,"ascheres le marche",45170,"ascheres le marche",48.111941271,2.010289853,loiret,45,"centre-val de loire","Centre-Val de Loire"
45011,attray,45170,attray,48.120293175,2.131827333,loiret,45,"centre-val de loire","Centre-Val de Loire"
45017,"auvilliers en gatinais",45270,"auvilliers en gatinais",47.965766087,2.491632842,loiret,45,"centre-val de loire","Centre-Val de Loire"
45023,"batilly en puisaye",45420,"batilly en puisaye",47.61129414,2.885198507,loiret,45,"centre-val de loire","Centre-Val de Loire"
45026,"bazoches sur le betz",45210,"bazoches sur le betz",48.132831749,2.990118353,loiret,45,"centre-val de loire","Centre-Val de Loire"
45034,"boigny sur bionne",45760,"boigny sur bionne",47.932177339,2.019112868,loiret,45,"centre-val de loire","Centre-Val de Loire"
45043,bou,45430,bou,47.870301948,2.047172388,loiret,45,"centre-val de loire","Centre-Val de Loire"
45050,boynes,45300,boynes,48.11737423,2.359623267,loiret,45,"centre-val de loire","Centre-Val de Loire"
45051,"bray st aignan",45460,"bray st aignan",47.830782055,2.374096598,loiret,45,"centre-val de loire","Centre-Val de Loire"
45052,breteau,45250,breteau,47.677476523,2.888935103,loiret,45,"centre-val de loire","Centre-Val de Loire"
45054,"briarres sur essonne",45390,"briarres sur essonne",48.22655889,2.41358629,loiret,45,"centre-val de loire","Centre-Val de Loire"
45062,cercottes,45520,cercottes,47.987091084,1.897129378,loiret,45,"centre-val de loire","Centre-Val de Loire"
45063,cerdon,45620,cerdon,47.630234776,2.381565577,loiret,45,"centre-val de loire","Centre-Val de Loire"
45064,"cernoy en berry",45360,"cernoy en berry",47.546425408,2.6524186,loiret,45,"centre-val de loire","Centre-Val de Loire"
45065,"cesarville dossainville",45300,"cesarville dossainville",48.262842856,2.28426418,loiret,45,"centre-val de loire","Centre-Val de Loire"
45067,chaingy,45380,chaingy,47.89119563,1.773241027,loiret,45,"centre-val de loire","Centre-Val de Loire"
